# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCB1	ENSG00000085563	ENST00000265724	protein_coding	4	9	12	32	0	0	1	0	0	0	1	34	12	2	0	3	0	0	1	0	7	0
ABCB1	ENSG00000085563	ENST00000416177	protein_coding	0	3	1	20	0	0	1	0	0	2	0	18	1	0	0	2	0	0	0	0	1	0
ABCB1	ENSG00000085563	ENST00000543898	protein_coding	4	9	12	32	0	0	1	0	0	0	1	34	12	2	0	3	0	0	1	0	7	0
ABCB1	ENSG00000085563	ENST00000622132	protein_coding	4	9	12	18	0	0	1	0	0	0	1	20	12	2	0	3	0	0	1	0	7	0
ABCC2	ENSG00000023839	ENST00000647814	protein_coding	2	8	18	13	0	0	1	0	0	0	0	12	18	0	0	1	0	0	2	0	8	0
ABCC2	ENSG00000023839	ENST00000648689	protein_coding	1	0	1	7	0	0	1	0	0	4	0	2	1	0	0	0	0	0	1	0	0	0
ABL1	ENSG00000097007	ENST00000318560	protein_coding	1	5	10	11	0	1	3	0	0	0	1	9	10	0	0	1	0	0	0	0	3	0
ABL1	ENSG00000097007	ENST00000372348	protein_coding	1	4	10	11	0	0	0	0	0	0	1	12	10	0	0	1	0	0	0	0	3	0
ABL1	ENSG00000097007	ENST00000393293	protein_coding	0	0	0	10	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000344730	protein_coding	4	2	9	4	0	0	0	0	0	0	2	4	9	0	0	0	0	0	2	0	2	0
ABL2	ENSG00000143322	ENST00000367623	protein_coding	5	2	9	4	0	0	0	0	0	0	2	4	9	0	0	0	0	0	3	0	2	0
ABL2	ENSG00000143322	ENST00000392043	protein_coding	3	2	5	10	0	0	0	0	0	6	1	4	5	0	0	0	0	0	2	0	2	0
ABL2	ENSG00000143322	ENST00000502732	protein_coding	5	2	9	4	0	0	0	0	0	0	2	4	9	0	0	0	0	0	3	0	2	0
ABL2	ENSG00000143322	ENST00000504405	protein_coding	4	2	9	4	0	0	0	0	0	0	2	4	9	0	0	0	0	0	2	0	2	0
ABL2	ENSG00000143322	ENST00000507173	protein_coding	4	2	9	5	0	0	0	0	0	0	2	5	9	0	0	0	0	0	2	0	2	0
ABL2	ENSG00000143322	ENST00000511413	protein_coding	4	2	9	5	0	0	0	0	0	0	2	5	9	0	0	0	0	0	2	0	2	0
ABL2	ENSG00000143322	ENST00000512653	protein_coding	5	2	9	3	0	0	0	0	0	0	2	3	9	0	0	0	0	0	3	0	2	0
ACAA1	ENSG00000060971	ENST00000301810	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACAA1	ENSG00000060971	ENST00000333167	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACAA1	ENSG00000060971	ENST00000421218	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACAA1	ENSG00000060971	ENST00000450296	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACTR1A	ENSG00000138107	ENST00000369905	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTR1A	ENSG00000138107	ENST00000487599	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AKT1	ENSG00000142208	ENST00000349310	protein_coding	0	2	0	5	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000402615	protein_coding	0	2	0	5	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000407796	protein_coding	0	2	0	5	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000553797	protein_coding	0	2	0	5	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554192	protein_coding	0	1	0	6	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	3
AKT1	ENSG00000142208	ENST00000554581	protein_coding	0	2	0	5	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554848	protein_coding	0	2	0	5	0	0	0	0	0	1	0	6	0	0	0	2	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000555458	protein_coding	0	1	0	6	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	3
AKT1	ENSG00000142208	ENST00000555528	protein_coding	0	2	0	5	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000649815	protein_coding	0	2	0	5	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000683722	protein_coding	0	2	0	5	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000311278	protein_coding	1	0	4	9	0	0	0	0	0	0	0	9	4	0	0	0	0	0	1	0	0	0
